sleep_len,sleep_start,morning_study_len,morning_study_start,afternoon_study_len,afternoon_study_start,evening_study_len,evening_study_start,night_study_len,night_study_start,morning_len,morning_start,afternoon_len,afternoon_start,evening_len,evening_start,exercise_len,exercise_start,wash_len,wash_start,read_len,read_start,school1_len,school1_start,school2_len,school2_start
9,0,6.5,5.5,6,10,3,18.5,4,20,1,6,1,12,2,18,1,20,0.5,23.5,5,,4.5,8.5,5,13
9,22,5.2,7,6,13,3,19,2.5,21.5,1,7,1,11,2,18,1,19,0.5,23.5,2,14,4.3,7.6,5,13
8,23,4,8,5,12,3,19,2,21,1,8,1,12,2,16,1,22,1,21,2,19,4.3,7.6,5,13
8,23,3,7,5,13,2.5,19,2,21,1,7,1,12,1.5,19,1,22,1,21,1.5,19.5,4,8,4,13
8,23,3,6,3.8,13,2,18,1,23,1,7,1,13,1,19,1,21,1,21,1,6,4,8,4,13
8,23,2,8,3,12,2,19,1,22.5,1,9,1,12,1,18,0.5,17,1,19,1,22,3.5,8.5,3,13
7,0,2,7,2,17,2,18,1,22.5,1,6.5,1,12,1,18,0.5,19,0.5,17.5,1,23,3,9,2.5,14
7,23,1,5.5,,,1,19,1,20,1,7,1,12,1,18,,,1,7.5,,,3,9,2,13
7,23,,,,,,,,,1,7,1,12,1,19,,,1,6.5,,,,,,
6.5,0,,,,,,,,,0.5,8.5,1,12,1,6,,,,0.5,,,,,,
6,1,,,,,,,,,0.5,7.5,1,12,1,18,,,,,,,,,,
6,2,,,,,,,,,0.5,6,0.8,13,1,18,,,,,,,,,,
6,0,,,,,,,,,0.5,7,0.5,11.5,1,18,,,,,,,,,,
6,0,,,,,,,,,,,0.5,13.5,1,19,,,,,,,,,,
6,0,,,,,,,,,,,0.5,12.2,1,19,,,,,,,,,,
6,21,,,,,,,,,,,0.5,12,0.5,17.5,,,,,,,,,,
5,0,,,,,,,,,,,,,0.5,18,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,,,,,,
