sleep_len,sleep_start,morning_study_len,morning_study_start,afternoon_study_len,afternoon_study_start,evening_study_len,evening_study_start,night_study_len,night_study_start,morning_len,morning_start,afternoon_len,afternoon_start,evening_len,evening_start,exercise_len,exercise_start,wash_len,wash_start,read_len,read_start
6,1,3,7,3,12,2,18,2,21,,,0.5,11.5,,,,,,,1,6
6,2,,,,,,,,,0.5,8.5,0.5,13.5,1,19,1,20,1,21,,
6,0,5.2,7,3.8,13,3,18.5,2.5,21.5,1,6,0.5,12.2,0.5,17.5,0.5,17,0.5,17.5,,
7,0,,,,,,,,,1,7,1,12,1,18,0.5,19,,,1.5,19.5
8,23,,,5,12,1,19,,,1,8,1,11,1,18,1,19,1,19,,
7,23,,,,,,,,,,,1,12,1.5,19,1,22,1,7.5,1,22
8,23,,,,,2,19,2,21,1,7,1,12,1,18,,,,,,
8,23,2,8,2,17,,,,,1,7,1,13,1,19,,,,,,
9,0,,,,,,,,,1,9,,,1,6,,,,,2,14
6,0,2,7,,,,,,,,,1,12,2,18,1,22,,,1,23
6.5,0,,,,,2.5,19,1,23,0.5,7.5,0.8,13,0.5,18,,,1,6.5,,
6,0,,,,,3,19,1,22.5,0.5,6,1,12,1,18,,,0.5,23.5,,
5,0,1,5.5,,,3,19,1,22.5,1,6.5,1,12,1,18,,,0.5,23.5,,
8,23,4,8,5,13,,,,,1,7,1,12,1,18,1,21,,,2,19
7,23,,,,,,,,,,,1,12,2,18,,,1,21,,
6,21,3,6,6,10,2,18,,,,,,,2,16,,,,,,
5,0,6.5,5.5,6,13,,,4,20,0.5,7,0.5,12,1,19,,,,0.5,5,
9,22,,,,,,,1,20,1,7,1,12,1,19,,,1,21,,
